 ID  ,title,followers_count,genres,popularity,avgcompscore
5643,Rage Against The Machine,1792781,"['alternative metal', 'alternative rock', 'funk metal', 'hard rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",74,0.120575
5644,Rage Against The Machine,1792781,"['alternative metal', 'alternative rock', 'funk metal', 'hard rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",74,-0.9823
5645,Raggio Di Luna,49,['italian disco'],10,0.095255
5646,Ragnarok,11897,"['black metal', 'dark black metal', 'norwegian metal', 'pagan black metal', 'symphonic black metal', 'viking metal']",22,0.20295
5647,Raihan,12918,"['malaysian pop', 'nasheed']",42,-0.9805
5648,Raimundos,551882,['brazilian punk'],64,0.499503846
5649,Rain Sounds,45335,['environmental'],76,0.886
5650,Rain Tree Crow,3345,"['art rock', 'fourth world']",24,nan
5651,Rainbirds,1410,[],33,nan
5652,Rainbow Kitten Surprise,113516,"['indie folk', 'indie pop', 'modern rock']",68,0.2810125
5653,Rainhard Fendrich,17750,"['austropop', 'german pop', 'schlager']",47,nan
5654,The Rainmakers,2825,[],25,0.90415
5655,Raised Fist,42360,"['skate punk', 'swedish alternative rock']",47,0.919
5656,Bonnie Raitt,195497,"['blues', 'blues-rock', 'classic rock', 'electric blues', 'folk', 'folk rock', 'folk-pop', 'jazz blues', 'lilith', 'mellow gold', 'modern blues', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'soul', 'soul blues']",59,-0.583023529
5657,Rakim,199872,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",57,0.529533333
5658,Rakoth,139,['slavic metal'],5,0.9412
5659,Ralph Bendix,11,[],1,0.252915789
5660,Ralph Paulsen Bahnsen,0,[],0,0.9118
5661,Ram Jam,41021,['classic rock'],58,-0.8834
5662,Zé Ramalho,372147,"['forro', 'mpb', 'samba']",63,-0.9371
5663,Eros Ramazzotti,551630,"['italian pop', 'latin christmas']",68,0.9923
5664,Rammstein,1638828,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal', 'rap metal']",76,-0.8316
5665,Ramona,10941,['latin rock'],44,0.9893
5666,Ramones,1073781,"['classic rock', 'hard rock', 'heavy christmas', 'permanent wave', 'punk', 'punk christmas', 'rock', 'skate punk']",68,0.3816
5667,Rampage,2739,[],41,0.82255
5668,Rancid,343584,"['pop punk', 'punk', 'ska punk', 'skate punk']",63,0.00625
5669,Randolph Rose,83,[],8,-0.317164286
5670,Randy Crawford,75026,"['adult standards', 'disco', 'jazz christmas', 'new wave pop', 'quiet storm', 'smooth jazz', 'soul', 'soul christmas', 'vocal jazz']",56,0.545125
5671,Randy Newman,87753,"['disney', 'movie tunes', 'singer-songwriter', 'soundtrack']",62,0.32819
5672,Randy Travis,311546,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'traditional country']",64,0.244954167
5673,Rangel,103,[],44,0.222066667
5674,The Rankin Family,5167,"['canadian country', 'canadian indie', 'nl folk']",35,0.121490909
5675,Kenny Rankin,8015,[],40,0.8691
5676,Jesse Rankins,27,[],32,0.9447
5677,Raphael Saadiq,208121,"['funk', 'indie r&b', 'neo soul', 'soul', 'urban contemporary']",58,0.604041667
5678,Die Mannschaft des SK Rapid,2,[],0,0.8971
5679,Rappers Against Racism feat. Trooper,35,[],5,-0.7074
5680,Rapsody,52501,"['alternative hip hop', 'escape room', 'hip hop', 'indie r&b', 'pop rap', 'southern hip hop', 'underground hip hop']",61,0.9382
5681,Rare Earth,35386,"['blues-rock', 'british blues', 'classic funk rock', 'classic rock', 'southern rock']",44,0.91
5682,Randy Rare,1,[],0,0.701664286
5683,Ras Kass,17279,"['alternative hip hop', 'hardcore hip hop', 'hip hop']",48,0.9287
5684,Rascal Flatts,1215717,"['contemporary country', 'country', 'country christmas', 'country road', 'neo mellow', 'pop rock']",73,0.202766667
5685,The Young Rascals,29086,"['brill building pop', 'british blues', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']",46,0.8625
5686,The Rasmus,165340,['funk metal'],59,0.972
5687,Raspberries,14627,"['bubblegum pop', 'jangle pop', 'power pop', 'pub rock']",52,0.3672875
5688,Rasputin,841,[],29,0.01546
5689,Rasputina,21772,"['bow pop', 'cello', 'dark cabaret', 'steampunk']",35,0.355775
5690,Ratcat,4180,['australian pop'],30,0.8885
5691,Ratt,236745,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",57,0.9961
5692,Rattles,0,[],0,0.461291304
5693,Raul Seixas,523799,"['mpb', 'rock gaucho']",62,-0.9852
5694,Tapio Rautavaara,9680,"['classic finnish pop', 'classic finnish rock', 'suomi rock']",37,0.0033
5695,Raven & Kreyn,4517,"['deep big room', 'tracestep']",49,0.447040541
5696,Thurl Ravenscroft,1433,[],46,0.90945
5697,Ray Charles,1088706,"['adult standards', 'christmas', 'classic rock', 'jazz blues', 'jazz christmas', 'motown', 'piano blues', 'rock-and-roll', 'soul', 'soul blues', 'soul christmas', 'southern soul', 'vocal jazz']",69,0.8689
5698,Ray Horton,43,[],9,0.31386
5699,Ray Miller,78,[],13,0.59134
5700,"Ray Parker, Jr.",22142,"['disco', 'soul christmas']",57,0.4211
5701,Ray Stevens,20914,"['bubblegum pop', 'comic', 'country christmas', 'nashville sound', 'traditional country']",40,0.579133333
5702,Collin Raye,92970,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road']",53,0.7691
5703,Francine Raymond,821,"['chanson quebecois', 'quebecois']",22,0.8553
5704,Razor B,2176,[],37,-0.2564
5705,Razorback,17823,"['opm', 'pinoy alternative']",37,0.4750125
5706,The Razorbacks,429,[],13,-0.7812
5707,Re-Flex,236,"['dance rock', 'new romantic', 'new wave', 'synthpop']",7,0.9053
5708,Chris Rea,129314,"['blues-rock', 'mellow gold', 'soft rock']",57,0.97035
5709,ReAct,20,[],4,0.407983333
5710,Ready For The World,96656,"['boy band', 'classic funk rock', 'electro', 'freestyle', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']",45,0.145785714
5711,Readymade,290,[],7,0.36406
5712,Reel 2 Real,5899,"['eurodance', 'hip house']",45,-0.7412
5713,In Real Life,20662,['teen pop'],45,nan
5714,Real McCoy,28740,"['bubblegum dance', 'eurodance', 'europop', 'german techno', 'hip house', 'soul christmas']",51,-0.7681
5715,The Real Thing,14754,['disco'],47,0.50411
5716,Reality Check,497,[],10,0.171161446
5717,The Psycho Realm,43345,['chicano rap'],44,0.0647
5718,Realtime,366,['barbershop'],16,-0.6808
5719,Reba McEntire,530256,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country gospel', 'nashville sound', 'traditional country']",61,-0.687908333
5720,Rebeka,7234,['polish indie'],31,0.6162
5721,Brad & Rebekah,1053,[],46,-0.7527
5722,Rebekka Adam,12,[],17,-0.8741
5723,Ivan Rebroff,4975,['russian folk'],32,0.6166
5724,Reby Aqqila,4,[],0,-0.8741
5725,Recoil,9769,[],27,0.59015
5726,Recycle Jordan,657,[],28,0.91
5727,Axelle Red,9463,"['belgian rock', 'chanson', 'french pop']",48,0.128
5728,Tha Red Baron,60,[],18,-0.409972642
5729,Red Box,1494,[],30,nan
5730,DJ Red Core,483,[],40,0.617295238
5731,Red Hot Chili Peppers,6516280,"['alternative metal', 'alternative rock', 'funk metal', 'permanent wave', 'post-grunge', 'rock']",86,0.90235
5732,Red House Painters,35788,"['alternative pop', 'alternative rock', 'art pop', 'chamber pop', 'dream pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'noise pop', 'post rock', 'shoegaze', 'singer-songwriter', 'slow core']",44,-0.256284211
5733,Red Ink,411,[],4,0.8528
5734,Redbone,35421,[],62,0.3939
5735,Otis Redding,973370,"['adult standards', 'chicago soul', 'christmas', 'classic funk rock', 'classic rock', 'folk rock', 'funk', 'jazz blues', 'memphis soul', 'quiet storm', 'singer-songwriter', 'soul', 'soul blues', 'soul christmas', 'southern soul']",71,0.978
5736,Helen Reddy,38654,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'mellow gold', 'soft rock']",46,-0.7059
5737,Redman,275753,"['alternative hip hop', 'dirty south rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",68,0.5859
