,main_artist,Year,Rank,Source,comp_score,pos_score,neu_score,neg_score
165,beverly bremers,1972.0,86.0,5.0,0.8123,0.124,0.812,0.064
166,beyonce,2008.45,46.95,1.1,0.809175,0.15365,0.78075,0.06550000000000002
167,big brother,1968.0,96.0,3.0,0.9951,0.193,0.775,0.033
168,big mountain,1994.0,21.0,1.0,0.9856,0.242,0.718,0.04
169,big pun,1998.0,85.0,3.0,-0.9935,0.10300000000000001,0.736,0.161
170,big sean,2014.0,65.4,1.4,-0.19968000000000002,0.146,0.6628000000000001,0.19140000000000001
171,big tymers,2002.0,50.0,1.0,0.9978,0.139,0.84,0.02
172,bill conti deetta little,1977.0,21.0,,,,,
173,bill cosby,1967.0,92.0,,,,,
174,bill medley,1987.0,27.0,1.0,0.975,0.132,0.7909999999999999,0.077
175,bill withers,1971.6666666666667,36.0,1.0,0.3771,0.12833333333333333,0.789,0.08233333333333333
176,billie myers,1998.0,46.0,1.0,0.9882,0.151,0.8079999999999999,0.040999999999999995
177,billy currington,2009.0,93.0,1.0,0.9804,0.20600000000000002,0.6609999999999999,0.134
178,billy idol,1986.0,43.8,1.0,0.86972,0.2952,0.6496,0.05499999999999999
179,billy joe royal,1965.0,52.0,1.0,0.9940000000000001,0.187,0.774,0.039
180,billy joel,1984.0,46.666666666666664,1.0,0.29677499999999996,0.11058333333333333,0.7970833333333333,0.09249999999999999
181,billy ocean,1985.6666666666667,32.166666666666664,1.0,0.9963166666666666,0.28966666666666663,0.6663333333333333,0.043833333333333335
182,billy paul,1973.0,15.0,1.0,-0.3031,0.10300000000000001,0.789,0.109
183,billy preston,1974.75,22.0,1.0,0.18373333333333333,0.135,0.7879999999999999,0.07666666666666666
184,billy ray cyrus,1992.0,15.0,1.0,-0.9613,0.037000000000000005,0.866,0.09699999999999999
185,billy squier,1982.5,87.5,1.0,0.97645,0.1185,0.858,0.0235
186,billy swan,1975.0,43.0,1.0,0.9969,0.321,0.65,0.028999999999999998
187,billy vera,1987.0,20.0,1.0,-0.9779,0.048,0.769,0.183
188,biz markie,1990.0,94.0,1.0,-0.8379,0.077,0.8290000000000001,0.095
189,bj thomas,1971.1666666666667,56.333333333333336,1.6666666666666667,0.2303666666666667,0.13316666666666668,0.6906666666666667,0.1761666666666667
190,black box,1990.5,84.5,1.0,0.8525,0.1535,0.7150000000000001,0.132
191,blackbear,2017.0,98.0,1.0,0.4741,0.129,0.7559999999999999,0.115
192,blackstreet,1996.75,50.5,1.0,0.808075,0.15175,0.7807499999999999,0.0675
193,blake shelton,2009.8,75.4,1.0,0.9834999999999999,0.1396,0.8190000000000002,0.0412
194,blaque,1999.5,40.0,1.0,0.9857,0.1595,0.819,0.0215
195,blessid union of souls,1995.0,27.0,1.0,0.9963,0.245,0.703,0.052000000000000005
196,blink 182,2000.0,40.0,1.0,0.9578,0.10400000000000001,0.884,0.012
197,blondie,1980.25,12.75,1.0,0.659025,0.16000000000000003,0.7677500000000002,0.07200000000000001
198,blood sweat,1969.0,36.0,4.0,0.05745,0.191,0.723,0.086
199,bloodstone,1973.0,39.0,1.0,0.9968,0.254,0.688,0.057999999999999996
200,blu cantrell,2001.0,11.0,3.0,0.9744,0.10800000000000001,0.823,0.068
201,blue cheer,1968.0,56.0,1.0,0.9786,0.171,0.7929999999999999,0.035
202,blue magic,1974.0,19.0,1.0,-0.9909,0.048,0.78,0.17300000000000001
203,blue october,2006.0,82.0,1.0,-0.976,0.12300000000000001,0.706,0.171
204,blue ridge rangers,1973.0,86.0,3.0,0.9349,0.115,0.823,0.061
205,blue swede,1974.0,20.0,1.0,0.9943,0.272,0.7020000000000001,0.027000000000000003
206,blues image,1970.0,32.0,3.0,0.9877,0.17,0.7829999999999999,0.047
