main_artist,avg_year,avg_rank,avg_comp_score,avg_pos_score,avg_neu_score,avg_neg_score,sp_id,sp_name,followers_count,popularity,genres
the manhattan transfer,1981.0,36.0,0.9956,0.2,0.78,0.019,2O0Hw1WSMbskB5tD9aWah3,The Stylistics,1464,30,"['adult standards', 'chicago soul', 'classic funk rock', 'disco', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'soul christmas', 'southern soul']"
the manhattans,1978.0,14.0,0.9228,0.1505,0.7735,0.076,57bUPid8xztkieZfS7OlEV,The Supremes,184661,55,"['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'classic funk rock', 'disco', 'folk rock', 'funk', 'jazz blues', 'mellow gold', 'memphis soul', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
the marshall tucker band,1977.0,57.0,0.9923,0.246,0.744,0.011,6gZVflqhSHhG3MjYrf1dOv,The Surfaris,530698,67,['surf music']
the marvelettes,1966.0,74.0,0.9848,0.238,0.64,0.122,0efkWb9xKhT6H0E7kgSjFK,The Sylvers,10972,39,['disco']
the mccoys,1965.0,30.0,0.9821,0.247,0.665,0.088,485uL27bPomh29R4JmQehQ,Bob Seger,2950,29,"['album rock', 'classic rock', 'folk christmas', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock']"
the mills brothers,1968.0,86.0,0.9616,0.172,0.781,0.046,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,313130,68,"['brill building pop', 'chicago soul', 'christmas', 'disco', 'funk', 'jazz blues', 'memphis soul', 'motown', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
the mindbenders,1966.0,34.0,0.9713,0.177,0.767,0.056,2zpFG5cvw00QmrYTUsjApa,The Three Degrees,855172,70,"['disco', 'motown', 'quiet storm', 'soul christmas']"
the miracles,1968.6,60.0,0.348325,0.22275,0.6595,0.1175,1EgGVV9cmmlLEsFlunjmvv,The Time,41059,48,"['classic funk rock', 'disco', 'electro', 'funk', 'new jack swing', 'post-disco', 'quiet storm']"
the moments,1970.0,25.0,nan,nan,nan,nan,7uwPrVdjss0FyCCTzpLx5A,The Tony Rich Project,111286,45,"['new jack swing', 'urban contemporary']"
the monkees,1966.8,47.8,0.55908,0.141,0.7508,0.1082,1zgNpeHQe8GulzfVkYP2VK,The Trammps,8991,40,"['classic funk rock', 'disco', 'motown', 'post-disco', 'soul christmas']"
the moody blues,1968.5,41.0,0.99545,0.3325,0.619,0.0485,2VL8sLEJ6lHEwocjc1pN9w,The Tremeloes,45852,54,"['adult standards', 'brill building pop', 'british blues', 'british invasion', 'bubblegum pop', 'christmas', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
the motels,1982.0,29.0,0.5667,0.213,0.604,0.183,57xdnSVt4ahJCIXYLieQ25,The Troggs,32005,45,"['brill building pop', 'british blues', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock-and-roll']"
the music explosion,1967.0,11.0,0.7668,0.106,0.845,0.049,7zfhej6FnVXN9LIXs6dcoK,The Tubes,70246,50,"['album rock', 'art rock', 'classic rock', 'power pop', 'zolo']"
the mysterians,1966.0,5.0,-0.9988,0.039,0.566,0.395,2VIoWte1HPDbZ2WqHd2La7,The Turtles,19141,42,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'merseybeat', 'psychedelic rock']"
the neighbourhood,2014.0,75.0,0.9806,0.12,0.816,0.064,2tkwWmcZOQPNbbIdknfBsw,The Undisputed Truth,136970,60,"['chicago soul', 'classic funk rock', 'memphis soul', 'motown']"
the new seekers,1971.0,94.5,0.9344,0.112,0.844,0.044,2GaayiIs1kcyNqRXQuzp35,The Ventures,5699,44,"['lounge', 'rock-and-roll', 'rockabilly', 'surf music']"
