Row Labels,Count of genres
lovers rock,1
lovers rockNONE,1
madchester,1
madchesterNONE,2
malaysian hip hop,1
malaysian pop,1
malaysian popNONE,14
manila sound,3
martial industrialNONE,1
math rock,2
mathcore,1
mathcoreNONE,1
medieval folk,1
medieval rockNONE,2
melancholia,1
melancholiaNONE,1
mellow gold,20
mellow goldNONE,3
melodic death metal,2
melodic death metalNONE,1
melodic hard rockNONE,5
melodic hardcore,17
melodic metalcore,2
merengue,1
merseybeatNONE,3
metal,4
miami bassNONE,2
mizrahi,1
modern bluesNONE,1
modern rock,2
monasticNONE,2
motown,2
movie tunes,1
movie tunesNONE,3
mpb,7
mpbNONE,5
mundart,4
mundartNONE,3
musiikkia lapsilleNONE,1
nashville soundNONE,1
native american hip hopNONE,1
native americanNONE,2
neo classical metal,1
neo mellow,16
neo soul,6
neo soulNONE,3
neo-progressive,1
neo-psychedelic,1
neo-rockabillyNONE,1
neo-singer-songwriterNONE,1
neo-synthpopNONE,1
neo-trad metal,4
nerdcore,1
neue deutsche harte,2
neue deutsche welle,1
neue deutsche welleNONE,13
new age,2
new ageNONE,3
new jack swing,8
new jack swingNONE,4
new orleans blues,1
new romantic,4
new romanticNONE,4
new wave pop,5
new wave popNONE,21
noise rock,2
NONE,2147
norteno,1
northern soul,1
northern soulNONE,1
norwegian indie,1
norwegian metal,2
norwegian metalNONE,1
norwegian popNONE,1
norwegian punk,1
norwegian rockNONE,1
nu ageNONE,1
nu discoNONE,1
nu metal,1
nueva cancion,1
nwobhmNONE,1
oi,1
oiNONE,1
opera,2
operatic pop,1
operatic popNONE,4
opm,11
opmNONE,5
orgcoreNONE,1
ostrock,1
ostrockNONE,1
outlaw countryNONE,1
outsiderNONE,1
p funkNONE,1
permanent wave,5
persian popNONE,1
persian traditionalNONE,1
peruvian rock,1
pinoy alternativeNONE,3
pixie,1
poetryNONE,1
polish hip hopNONE,1
polish indieNONE,1
polish pop,1
polish popNONE,4
polish punk,1
polish punkNONE,2
polish reggaeNONE,1
polynesian popNONE,1
pop,10
pop christmas,6
pop christmasNONE,4
pop houseNONE,1
pop punk,6
pop punkNONE,1
pop rap,3
pop rock,5
pop rockNONE,11
portland indieNONE,1
portuguese pop,1
post-discoNONE,2
post-hardcoreNONE,2
post-punk,1
post-screamo,1
post-teen pop,2
power blues-rock,1
power popNONE,1
power-pop punkNONE,1
praiseNONE,3
progressive electro houseNONE,2
progressive houseNONE,1
progressive post-hardcore,2
progressive post-hardcoreNONE,1
progressive trance,1
progressive tranceNONE,1
