id,artistid,artist,title,compound_score
66344,5626,Matthew Wilder,Break My Stride,0.8845
66346,5627,Matthews Wendy,Beloved,0.9764
66353,5628,Matthias Reim,Bastian - Blaulicht In Der Nacht,-0.5994
66376,5629,Mau Mau,L Mat,-0.7456
66378,5630,Maule Brad,My Heart Only Knows What It Feels,0.7057
66380,5631,Maurane,Differente Quand Je Chante,-0.296
66381,5632,Maurice Williams And The Zodiacs,Stay,0.8826
66382,5633,Maurizio Del Fino,Amatevi,-0.6351
66394,5634,Mauuml;hlenhof Musikanten,Das Leben Ist Sch&amp;ouml;n,-0.9661
66395,5635,Mauuml;nchener Freiheit,Du Bist Nicht Allein,-0.9904
66397,5636,Mauuml;nchner Freiheit,Bis Wir Uns Wiederseh'n,-0.9485
66405,5637,Mavericks,All I Get,-0.6144
66427,5639,Maviss,Box,0.8813
66447,5640,Max,Get My Love,0.988
66453,5641,Max Greger,Brasiliera,-0.9758
66454,5642,Max Him,Lady Fantasy,-0.8689
66455,5643,Max Q,Buckethead,0.2596
66459,5644,Max Raabe Und Das Palast Orchester,Rinderwahn,-0.9823
66460,5645,Max Webster,A Million Vacations,0.7096
66502,5646,Max Werner,Rain In May,-0.497
66504,5647,Maxi And Chris Garden,Frieden F&amp;uuml;r Die Teddyb&amp;auml;ren,-0.9805
66505,5648,Maxwell,As My Girl,0.8361
66531,5649,Maxx,Get-a-way,0.886
66534,5652,May Brian,"&quot;too Much Love Will Kill You&quot; (may,musker,lamers)",-0.8271
66543,5654,Maybeez,Act One,0.8746
66545,5655,Mayfield Curtis,Here But I'm Gone,0.8458
66547,5656,Mayhem,Ancient Skin,-0.8934
66564,5657,Maywood,Give Me Back My Love,0.9709
66567,5658,Mazelle Kym,No More Tears (enough Is Enough),0.9412
66568,5659,Mazzy Star,All Your Sisters,-0.9349
66608,5660,Mc 900 Foot Jesus,The City Sleeps,0.9118
66609,5661,Mc Adonis,Chiller,-0.8834
66610,5662,Mc Adonis Featuring Friends,Was Gl&amp;uuml;ck,-0.9371
66611,5663,Mc Auley Schenker Group,Gimme Your Love,0.9923
66612,5664,Mc Bathi Feat. Roque Mc,Alina,-0.8316
66613,5665,Mc Erik And Barbara,Save The Jungle,0.9893
66614,5666,Mc Guinness Flint,Malt And Barley Blues,0.7147
66616,5667,Mc Hammer,U Can?t Touch This,0.7957
66618,5668,Mc Lyte,Cold Rock A Party (mc Lyte Main Version),0.9856
66624,5669,Mc Solaar,Armand Est Mort,-0.8779
66638,5670,Mcauley Schenker Group,Gimme Your Love,0.9387
66642,5671,Mcbride Martina,All The Things We've Never Done,-0.0572
66652,5672,Mccain Edwin,(i've Got To) Stop Thinkin' 'bout That,-0.8689
66676,5673,Mccann Lila,I Feel For You,0.1406
66679,5674,Mccartney Paul,Back Seat Of My Car,0.9121
66692,5675,Mcclinton Delbert,Everytime I Roll The Dice,0.7992
66694,5676,Mccoo Marilyn,You Don't Have To Be A Star,0.9447
66695,5677,Mccoy Andy,Born Again Electric,0.3561
66707,5678,Mccoy Neal,Party On,0.8971
