title,followers_count,genres,popularity
Ego Altar,741,[],31
Altered Images,14303,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'uk post-punk']",41
Altered Images,14303,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'uk post-punk']",41
Joey Altruda,103,[],10
Alux Nahual,8610,[],35
Alvin Lee,30265,"['blues-rock', 'british blues', 'classic rock', 'electric blues', 'modern blues', 'pub rock', 'southern rock', 'texas blues']",40
Alvin Stardust,6908,"['glam rock', 'rock-and-roll']",33
Shola Ama,12207,"['speed garage', 'uk garage']",47
Amanda Cook,39909,"['anthem worship', 'worship']",62
Amanda Ghost,879,['lilith'],15
Amanda Lear,9052,['italian disco'],36
Amanda Marshall,14752,"['canadian pop', 'lilith']",40
Amanda Perez,135376,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",46
Shaka Amazulu The 7th,14,[],20
Amber Run,181662,"['indie anthem-folk', 'indie folk']",65
Amboog-A-Lard,59,[],0
AmbrA,1126,[],26
Ambros / Tauchen / Prokopetz,4,[],0
Wolfgang Ambros,12678,"['austropop', 'liedermacher']",44
Ambrosia,58546,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",52
Amebix,8877,"['anarcho-punk', 'crossover thrash', 'crust punk', 'power violence', 'thrash core']",25
Amen Dunes,14380,"['art pop', 'freak folk', 'garage psych', 'neo-psychedelic', 'new weird america', 'noise pop', 'popgaze', 'preverb']",49
America,325728,"['album rock', 'art rock', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'pop christmas', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",68
American Hi-Fi,64487,"['pop punk', 'pop rock']",50
American Idol,1626,[],0
American Lesion,32,[],0
American Music Club,4599,"['melancholia', 'slow core']",23
American Pearl,483,[],21
Amicus,70,[],1
A.M.I.E.,22,[],19
Amie Comeaux,311,"['country dawn', 'deep contemporary country']",7
Amii Stewart,12022,['disco'],45
Amil,6125,['hip pop'],37
Amon Amarth,354107,"['alternative metal', 'death metal', 'groove metal', 'melodic death metal', 'metal', 'power metal', 'swedish metal', 'viking metal']",65
Amorphis,98662,"['finnish metal', 'folk metal', 'gothic metal', 'melodic death metal', 'metal', 'power metal', 'progressive metal', 'symphonic metal', 'viking metal']",54
Tori Amos,259583,"['art pop', 'ectofolk', 'folk', 'folk christmas', 'folk-pop', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop christmas', 'pop rock', 'singer-songwriter']",59
Amps,12,[],0
Namie Amuro,45377,"['j-pop', 'japanese r&b']",40
Amy Winehouse,4055494,[],78
Amy Grant,75506,"['ccm', 'christian alternative rock', 'christian christmas', 'christian music', 'pop christmas']",54
Amy Search,7421,['malaysian pop'],31
Ana Olgica,1914,['focus'],65
Anarchic System,103,['vintage french electronic'],8
Anarchist Academy,758,[],9
Anastacia,127298,"['dance pop', 'europop']",59
Anathema,121395,"['gothic metal', 'progressive metal']",53
Academy of Ancient Music,12251,"['baroque ensemble', 'choral', 'classical', 'classical christmas', 'classical performance']",61
Ancient Ceremony,273,['symphonic black metal'],3
Ancient Rites,2297,"['folk metal', 'viking metal']",14
And Also The Trees,4938,"['dark wave', 'gothic rock', 'uk post-punk']",22
And One,36484,"['aggrotech', 'dark wave', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal', 'neue deutsche harte']",45
Bill Anderson,14295,"['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']",38
Anderson Bruford Wakeman Howe,9857,"['album rock', 'art rock', 'canterbury scene', 'neo-progressive', 'progressive rock', 'symphonic rock']",27
Ernestine Anderson,5004,"['cabaret', 'vocal jazz']",28
Ian Anderson,35448,"['art rock', 'progressive rock', 'symphonic rock']",33
John Anderson,109159,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'texas country', 'traditional country']",53
Jon Anderson,179,[],33
Lale Anderson,82,[],4
Laurie Anderson,35219,"['art pop', 'art rock', 'bow pop', 'experimental', 'fourth world', 'laboratorio']",47
Anderson Bruford Wakeman Howe,9857,"['album rock', 'art rock', 'canterbury scene', 'neo-progressive', 'progressive rock', 'symphonic rock']",27
Peter Andre,17361,"['bubblegum dance', 'europop']",49
Andrea Berg,74089,"['discofox', 'german pop', 'schlager']",56
Andrea Bocelli,558431,"['italian pop', 'operatic pop', 'pop christmas']",71
Andrea Parker,1232,[],13
Andreas Dorau,2649,['neue deutsche welle'],30
Andreas Elsholz,85,[],3
Andreas Hauff,33,[],7
Andreas Johnson,9885,"['europop', 'swedish idol pop', 'swedish pop']",41
Andreas Lebbing,13,[],1
Andreas Martin,8058,"['discofox', 'schlager', 'volksmusik']",40
Andrew Gold,8208,"['soft rock', 'underground power pop']",44
Andrew Lloyd Webber,88408,"['broadway', 'hollywood', 'show tunes']",68
The Andrew Sisters & Orchestra,37,[],0
Julie Andrews,48852,"['adult standards', 'broadway', 'hollywood', 'movie tunes', 'show tunes']",61
The Andrews Sisters,56514,"['adult standards', 'big band', 'cabaret', 'christmas', 'jazz christmas', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']",54
Andru Donalds,3363,[],35
Andy & Bernd,23,[],3
Andy Borg,8736,"['schlager', 'volksmusik']",43
Andy Gibb,79079,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'soft rock']",51
Andy Griggs,27394,"['contemporary country', 'country', 'country road', 'modern country rock']",43
Andy Kim,1983,"['brill building pop', 'bubblegum pop']",37
Andy Williams,114832,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz']",60
Aneka,1694,[],34
Anekdoten,8907,"['art rock', 'canterbury scene', 'neo-progressive', 'progressive rock', 'space rock', 'swedish prog', 'symphonic rock']",31
Ange,2258,"['canterbury scene', 'symphonic rock']",30
Angel Olsen,148830,"['art pop', 'chamber pop', 'dream pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'neo-psychedelic', 'preverb', 'singer-songwriter', 'stomp and holler']",61
Angel Corpse,4638,"['black death', 'black thrash', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind']",16
Angela Ammons,119,[],17
Angela Wiedl,465,['volksmusik'],12
Angeli,59,['italian punk'],9
Angelic Upstarts,12288,['oi'],31
Angelika Milster,676,['schlager'],21
Angelina,3248,['freestyle'],41
Angels & Airwaves,229998,"['emo', 'modern rock', 'pop rock']",60
Daniel Angelus,2042,[],24
Anggun,19348,"['french pop', 'indonesian pop']",47
Angie Aparo,1246,[],20
Angie Martinez,4797,['hip pop'],42
Angie Stone,199833,"['hip pop', 'neo soul', 'pop christmas', 'r&b', 'soul', 'urban contemporary']",55
Angie Van Burg,5,[],0
Angizia,2033,[],17
Angkor Wat,93,[],3
In Angles,1057,['progressive post-hardcore'],17
Angra,144923,"['brazilian metal', 'latin metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'speed metal']",58
Ani DiFranco,98526,"['anti-folk', 'ectofolk', 'folk', 'folk-pop', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']",52
Glass Animals,698530,"['gauze pop', 'indietronica', 'modern rock', 'shiver pop']",73
Sick Animation,2160,[],27
Anita Baker,294222,"['classic funk rock', 'disco', 'funk', 'jazz christmas', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'soul christmas', 'urban contemporary']",58
Anita Cochran,2004,"['country christmas', 'country dawn', 'deep contemporary country']",22
Anja Krabbe,28,[],18
Lee Ann Womack,174057,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country gospel', 'country road', 'traditional country']",56
Anne Karin Kaasa & Gunnar Thommesen,0,[],0
Anne Clark,14207,['new romantic'],40
Anne Haigis,330,[],13
Anne Karin,27,[],5
Anne-Marie David,395,[],23
Anneli Drecker,2315,[],26
Annette Moreno,74971,['latin christian'],50
Annie Lennox,310748,"['dance pop', 'folk', 'folk christmas', 'lilith', 'mellow gold', 'new romantic', 'new wave pop', 'pop christmas', 'pop rock', 'singer-songwriter', 'soft rock']",64
Infant Annihilator,65107,[],47
Les Misérables - 10th Anniversary Concert Cast,29437,[],51
Ann-Margret,1825,[],34
Anointed,9531,['gospel'],27
Another Level,13822,"['boy band', 'europop', 'uk garage']",43
Anouk,107294,"['dutch pop', 'dutch rock']",61
Adam Ant,55760,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",44
Ant & Dec,2578,['boy band'],28
Anthem Lights,188509,"['ccm', 'christian christmas', 'christian music', 'classify', 'post-teen pop', 'viral pop']",67
Richard Anthony,7198,['chanson'],39
Anthrax,473656,"['album rock', 'alternative metal', 'death metal', 'glam metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rap metal', 'rap rock', 'rock', 'speed metal', 'thrash metal']",59
Anti-Flag,163724,"['melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']",58
Antichrisis,268,[],7
Anti-Nowhere League,15573,"['hardcore punk', 'heavy christmas', 'oi', 'punk', 'punk christmas']",36
Anything Box,4822,"['deep new wave', 'neo-synthpop', 'synthpop']",27
Apache Indian,4792,['desi hip hop'],36
Apartment 26,1608,['industrial metal'],23
The Apex Theory,1814,"['alternative metal', 'grunge pop']",20
Aphex Twin,332006,"['acid techno', 'ambient', 'electronic', 'intelligent dance music', 'microhouse', 'trip hop']",66
Aphrodite's Child,17393,"['art rock', 'canterbury scene', 'kraut rock', 'progressive rock', 'symphonic rock']",40
Apollo 440,33434,"['big beat', 'breakbeat', 'electronic']",44
Apoptygma Berzerk,29258,"['aggrotech', 'dark wave', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal', 'industrial rock']",45
April Wine,77658,"['album rock', 'canadian indie', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",49
Apulanta,54860,"['finnish dance pop', 'finnish metal', 'finnish pop', 'suomi rock']",55
Aqua,149270,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'pop christmas']",62
The Aquabats!,38355,"['comic', 'ska', 'ska punk']",45
A.R. Rahman,109929,"['desi', 'desi hip hop', 'filmi', 'indian pop', 'sufi']",63
Arab Strap,16290,"['lo-fi', 'scottish rock', 'slow core']",36
Arabesque,3330,['italian disco'],28
Emilio Aragón,211,[],31
Aranza,4946,[],28
Ararat,1135,[],9
Rosana,234469,"['cantautor', 'latin', 'latin pop', 'spanish pop']",63
Arc Angels,5219,"['southern rock', 'texas blues']",29
Arcadia,10702,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",33
Arch Enemy,291015,"['alternative metal', 'death metal', 'groove metal', 'melodic death metal', 'metal', 'metalcore', 'nu metal', 'power metal', 'progressive metal', 'speed metal', 'swedish metal']",62
Tasmin Archer,6133,['new wave pop'],45
Archers Of Loaf,17440,"['alternative pop', 'alternative rock', 'dance-punk', 'emo', 'emo punk', 'gbvfi', 'indie punk', 'indie rock', 'lo-fi', 'math rock', 'neo-psychedelic', 'noise pop', 'noise rock', 'post-hardcore', 'power pop', 'slow core', 'triangle indie']",39
The Archies,26252,"['brill building pop', 'bubblegum pop', 'folk rock']",57
Archive,95609,"['chamber pop', 'electronic', 'trip hop']",49
Arcturus,22998,"['atmospheric black metal', 'avantgarde metal', 'black metal', 'jazz metal', 'metal', 'norwegian metal', 'pagan black metal', 'symphonic black metal', 'viking metal']",36
Arcwelder,670,"['math rock', 'post-hardcore']",11
Jann Arden,14822,"['canadian indie', 'folk christmas', 'lilith', 'pop christmas']",42
